COD_DEP,NUM_OBRAS_ASSOCIADAS,OBRAS_EXECUTADAS,SOMA_PRIORIDADES_EXECUTADAS,SOMA_PRIORIDADES,MATERIAL_RECEBIDO,MATERIAL_ENVIADO
3113,476.0,143,9145.538900000005,24038.0,2946.7099999999996,608.8699999999993
3182,264.0,104,7218.4486,13332.0,1831.1000000000001,997.3500000000007
3256,667.0,429,27216.527300000012,33683.5,1531.21,1232.37
3257,346.0,262,15254.043100000004,17473.0,884.5499999999981,1145.2299999999998
3273,211.0,141,8652.171299999998,10655.5,590.9399999999994,1061.4399999999991
3285,181.0,98,6077.600000000001,9140.500000000002,594.5199999999999,519.4999999999995
3286,170.0,114,7038.7273000000005,8584.999999999998,524.5299999999999,1109.3499999999976
3294,160.0,74,4847.169900000001,8080.0,563.5999999999998,534.0899999999995
3326,153.0,93,5933.348400000001,7726.5,362.7099999999998,1665.75
6300,197.0,11,750.4695,9948.500000000002,21.239999999999803,977.1599999999999
Função objetivo:,81146.1343,,TOTAL_MATERIAL_TRANSPORTADO,9851.109999999995,,
