DEPOSITO ORIGEM,MATERIAL,DEPOSITO DESTINO,QUANTIDADE
3113,74815,3182,52.0
3113,74864,3182,12.0
3113,78972,3182,9.0
3113,245845,3182,3.0
3113,299578,3182,2.0
3113,384485,3182,3.0
3113,81596,3256,21.0
3113,207373,3256,107.0
3113,207514,3256,1.0
3113,231860,3257,15.0
3113,379577,3257,3.0
3113,82586,3273,1.0
3113,231399,3285,1.0
3113,237081,3285,12.0
3113,219634,3286,83.0
3113,225623,3286,104.21
3113,245845,3286,7.0
3113,376375,3286,33.0
3113,219634,3294,65.0
3113,231878,3294,4.0
3113,245845,3294,8.0
3113,207506,3326,7.0
3113,374393,3326,53.659999999999286
3113,245845,6300,2.0
3182,3681,3113,1.0
3182,82255,3113,11.0
3182,198366,3113,16.0
3182,214254,3113,3.0
3182,214619,3113,3.0
3182,231548,3113,282.9
3182,231696,3113,2.0
3182,231753,3113,3.0
3182,297325,3113,1.0
3182,352237,3113,35.0
3182,357341,3113,0.0100000000000442
3182,375058,3113,102.0
3182,376195,3113,31.0
3182,378855,3113,3.0
3182,2980,3256,4.1
3182,207373,3256,7.0
3182,227389,3256,178.0
3182,227405,3256,3.0
3182,230185,3256,1.0
3182,231431,3256,2.0
3182,378809,3257,38.0
3182,378857,3257,5.0
3182,2980,3273,2.0
3182,219667,3273,2.0
3182,378857,3273,8.0
3182,81836,3285,3.0
3182,208389,3285,46.0
3182,236869,3285,1.0
3182,3715,3286,1.0
3182,74914,3286,1.0
3182,231878,3286,10.0
3182,379134,3286,1.0
3182,237081,3294,3.0
3182,375056,3294,1.0
3182,379136,3294,3.0
3182,225623,3326,157.0
3182,231431,3326,1.0
3182,236828,3326,8.0
3182,374393,3326,14.340000000000707
3182,378857,3326,1.0
3182,246108,6300,2.0
3256,2931,3113,250.8
3256,3616,3113,1.0
3256,3715,3113,1.0
3256,66894,3113,2.0
3256,74856,3113,6.0
3256,75044,3113,18.0
3256,208074,3113,1.0
3256,208124,3113,2.0
3256,220483,3113,27.35
3256,225664,3113,82.5
3256,227868,3113,13.0
3256,227876,3113,9.0
3256,228874,3113,2.0
3256,228981,3113,88.0
3256,231589,3113,154.39
3256,236869,3113,10.0
3256,236943,3113,1.0
3256,272161,3113,1.0
3256,289157,3113,3.0
3256,305938,3113,1.0
3256,331736,3113,15.0
3256,356865,3113,27.0
3256,357341,3113,0.05999999999995581
3256,374393,3113,61.41
3256,375325,3113,10.0
3256,375718,3113,45.0
3256,378857,3113,8.0
3256,379142,3113,1.0
3256,379680,3113,2.0
3256,236869,3182,13.0
3256,245837,3182,3.0
3256,299594,3182,3.0
3256,353199,3182,3.0
3256,378295,3182,1.0
