COD_DEP,NUM_OBRAS_ASSOCIADAS,OBRAS_EXECUTADAS,SOMA_PRIORIDADES_EXECUTADAS,SOMA_PRIORIDADES
3256,667,187,11913.891800000001,33683.5
3113,476,9,629.8865000000001,24038.0
3257,346,183,11431.6954,17473.0
3182,264,34,1889.7793999999997,13332.0
3129,235,101,6715.8076,11867.5
3273,211,49,3048.2285,10655.5
3058,206,102,6893.8829,10403.0
3145,204,123,6101.5272,10302.0
6300,197,8,632.8113000000001,9948.500000000002
3285,181,38,2198.9500000000003,9140.500000000002
3327,173,52,3283.8894,8736.5
3286,170,49,2495.8813,8584.999999999998
3294,160,32,1871.2831,8080.0
3219,156,74,4129.167700000001,7878.0
3326,153,27,1605.7894999999999,7726.5
3297,151,40,2515.66,7625.5
3275,149,63,3803.5947000000006,7524.5
3061,138,29,1598.5473000000002,6969.0
3205,138,35,2288.8759000000005,6969.0
3328,132,22,1418.5802,6666.0
3152,127,29,1726.9288999999999,6413.5
3382,126,20,1003.664,6363.000000000001
3398,126,21,1070.4,6363.000000000001
3224,125,42,2288.6614,6312.499999999999
3323,115,59,3287.7895,5807.500000000001
3303,113,21,1349.5446,5706.500000000001
3134,112,45,2874.9729000000007,5656.0
3229,109,40,2533.3334,5504.5
3287,108,29,1867.4394000000002,5454.0
3325,105,27,1616.7115999999999,5302.5
3349,104,13,720.4176999999999,5252.0
3259,103,13,720.5587999999999,5201.499999999999
3403,103,25,1746.8233,5201.5
3215,101,46,2728.8999999999996,5100.500000000001
3296,99,17,624.1327,4999.500000000001
3270,97,33,2344.032,4898.502399999999
3302,96,11,631.0526,4848.0
3299,95,9,630.383,4797.499999999999
3396,89,21,1638.75,4494.5
3362,83,11,605.0,4191.500000000001
3130,77,14,673.1315999999999,3888.5
3365,75,32,2151.135,3787.5
3397,75,12,757.1756000000001,3787.4999999999995
3399,71,17,916.4857000000001,3585.5000000000005
3284,66,11,732.9385000000001,3333.0
3293,66,11,676.5845999999999,3333.0000000000005
3274,65,14,761.1408,3282.5008
3279,64,15,956.2857000000001,3232.0
3060,63,21,1407.0002,3181.5000000000005
3141,60,9,433.5256,3029.9999999999995
3181,60,12,666.4068,3030.0000000000005
3177,59,8,282.81050000000005,2979.5
3251,58,8,529.0527,2928.9999999999995
3298,57,10,474.94640000000004,2878.5000000000005
3289,55,13,810.5,2777.5
3381,51,16,978.28,2575.5
3269,48,6,458.87230000000005,2424.0
3131,43,12,771.0,2171.5
3023,41,8,488.15,2070.5
3178,41,4,202.0,2070.4999999999995
3133,40,2,134.0,2020.0
3394,40,6,386.7693,2020.0000000000002
3322,39,7,496.78940000000006,1969.4999999999998
3395,34,4,367.0,1717.0
3059,32,8,538.1291,1616.0
3283,30,2,172.68959999999998,1515.0
3393,26,4,289.12,1313.0
3314,21,2,105.95,1060.5
3313,20,9,603.0,1010.0
3245,15,0,0.0,757.5
3114,12,0,0.0,606.0
3213,9,1,100.0,454.5
3292,7,0,0.0,353.5
3115,5,2,175.25,252.5
3247,4,0,0.0,202.0
6310,4,3,135.0,202.0
3116,3,0,0.0,151.5
6330,3,0,0.0,151.5
3009,2,2,101.0,101.0
3307,2,2,101.0,101.0
3366,2,0,0.0,101.0
